,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Tillonburg WWTP,Trent U,Wiarton A,Windsor A,Wroxeter
1987-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-06-05,1.2,3.6,0.0,0.0,0.8000000000000003,2.0,0.5999999999999999,0.0,-4.440892098500626e-16,0.0,2.0,3.4,0.0,2.4
1987-06-06,1.2,0.0,0.0,0.0,2.9,5.0,0.0,4.4,0.20000000000000018,3.0,3.4,1.2,2.0,3.2
1987-06-07,13.8,0.2999999999999998,1.0,6.0,9.0,12.400000000000002,5.4,3.8,2.8,0.0,6.0,2.0,0.0,2.8
1987-06-08,2.4,3.7,0.6000000000000001,25.2,0.20000000000000018,2.0,12.8,0.20000000000000018,0.20000000000000018,6.2,0.3999999999999999,3.8,0.0,1.8
1987-06-09,0.0,0.0,0.0,5.4,1.2,0.0,2.6,1.0,2.8,0.0,0.7,2.0,0.0,4.440892098500626e-16
1987-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-06-11,4.2,0.20000000000000018,10.0,16.4,6.6,5.0,12.4,26.4,7.0,7.0,6.9,2.4,0.3999999999999999,4.6
1987-06-12,12.0,1.4,0.5000000000000002,2.8,1.2,1.0,2.8,0.0,-4.440892098500626e-16,11.0,2.9,0.0,2.4,4.440892098500626e-16
1987-06-13,0.0,0.20000000000000018,0.0,0.0,1.3,0.0,0.0,0.20000000000000018,-4.440892098500626e-16,0.0,0.0,10.0,0.0,4.440892098500626e-16
1987-06-14,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
